doc_id,subject_id
D1,S1
D1,S2
D2,S3
D3,S4
D3,S5
D3,S6
D4,S7
D4,S8
D4,S9
D5,S10
D6,S11
D6,S12
D7,S13
D7,S11
D8,S3
D9,S14
D9,S15
D9,S16
D10,S17
D10,S18
D11,S11
D11,S19
D12,S20
D13,S21
D13,S22
D13,S23
D14,S24
D14,S25
D15,S26
D15,S27
D15,S28
D16,S26
D16,S27
D16,S29
D17,S30
D17,S31
D18,S32
D18,S33
D18,S34
D19,S35
D19,S36
D20,S37
D20,S38
D20,S39
D21,S40
D21,S41
D22,S42
D22,S43
D22,S44
D23,S45
D23,S46
D23,S47
D24,S48
D24,S49
D24,S50
D25,S51
D26,S52
D26,S53
D27,S54
D27,S55
D28,S56
D28,S57
D28,S58
D29,S59
D29,S60
D29,S61
D30,S62
D30,S63
D30,S64
D31,S65
D32,S66
D32,S67
D33,S68
D33,S69
D33,S17
D34,S70
D34,S71
D35,S72
D35,S73
D35,S74
D36,S75
D36,S76
D36,S77
D37,S76
D37,S78
D37,S77
D38,S79
D38,S76
D38,S28
D39,S53
D39,S23
D40,S5
D40,S80
D40,S81
D41,S82
D42,S83
D42,S84
D43,S26
D43,S85
D44,S86
D44,S87
D44,S88
D45,S26
D46,S17
D47,S26
D47,S89
D47,S90
D48,S91
D48,S92
D49,S18
D50,S26
D51,S93
D51,S94
D52,S95
D52,S96
D52,S97
D53,S98
D53,S99
D54,S100
D54,S101
D54,S102
D55,S103
D55,S104
D56,S105
D56,S106
D57,S107
D57,S108
D58,S109
D58,S110
D58,S104
D59,S111
D59,S112
D59,S113
D60,S104
D61,S114
D61,S115
D61,S116
D62,S117
D62,S118
D63,S119
D64,S120
D64,S121
D65,S122
D65,S123
D66,S124
D66,S125
D67,S126
D68,S127
D68,S128
D69,S129
D70,S127
D70,S130
D71,S127
D71,S131
D71,S132
D72,S133
D73,S134
D73,S135
D73,S136
D74,S137
D74,S138
D74,S139
D75,S140
D75,S141
D75,S142
D76,S143
D77,S144
D78,S145
D79,S145
D80,S146
D80,S147
D81,S148
D81,S149
D82,S150
D83,S151
D83,S152
D84,S153
D84,S154
D85,S146
D85,S147
D86,S140
D87,S155
D88,S156
D89,S157
D89,S158
D90,S159
D91,S160
D91,S161
D92,S162
D92,S163
D92,S164
D93,S165
D94,S166
D94,S167
D94,S168
D95,S169
D96,S170
D97,S171
D97,S172
D98,S173
D99,S174
D100,S175
D101,S176
D101,S177
D102,S178
D102,S179
D103,S180
D104,S181
D105,S182
D105,S183
D106,S184
D106,S185
D107,S186
D107,S187
D108,S188
D109,S189
D109,S190
D110,S191
D111,S192
D112,S193
D112,S194
D113,S195
D113,S196
D113,S197
D114,S198
D114,S199
D114,S197
D115,S200
D115,S183
D115,S201
D116,S192
D117,S192
D118,S183
D119,S202
D120,S203
D121,S204
D122,S205
D122,S200
D122,S183
D123,S206
D124,S207
D124,S208
D125,S209
D125,S210
D126,S211
D126,S212
D127,S213
D127,S214
D128,S215
D128,S216
D129,S217
D129,S218
D130,S219
D130,S194
D131,S220
D132,S221
D133,S222
D133,S223
D134,S224
D135,S186
D135,S187
D136,S225
D137,S226
D137,S227
D138,S228
D139,S229
D140,S230
D141,S230
D142,S231
D143,S232
D144,S233
D144,S234
D145,S235
D145,S236
D146,S237
D147,S238
D147,S239
D148,S240
D149,S241
D149,S242
D150,S243
D151,S244
D151,S245
D152,S246
D153,S247
D153,S248
D153,S249
D154,S244
D154,S245
D155,S250
D155,S251
D156,S252
D157,S253
D158,S254
D159,S255
D159,S256
D160,S257
D160,S258
D161,S259
D161,S260
D162,S259
D163,S259
D163,S261
D164,S262
D164,S263
D165,S264
D166,S265
D166,S256
D167,S250
D167,S266
D168,S267
D168,S268
D169,S264
D170,S269
D170,S270
D171,S271
D172,S272
D172,S273
D173,S274
D174,S275
D174,S256
D174,S276
D175,S277
D175,S278
D176,S279
D177,S280
D177,S278
D178,S281
D178,S282
D179,S283
D179,S284
D180,S285
D180,S286
D181,S264
D181,S287
D182,S288
D183,S289
D183,S290
D184,S291
D185,S292
D185,S293
D186,S292
D186,S293
D187,S294
D188,S295
D188,S289
D188,S296
D189,S292
D190,S297
D191,S298
D191,S299
D192,S300
D192,S294
D193,S262
D194,S301
D194,S302
D195,S303
D196,S304
D197,S305
D197,S306
D198,S307
D199,S308
D200,S309
